doc_id,sentence,label0,label1,label2,label3,label4,average_score,mode_score,average_label,label
643,We have taken reasonable steps to ensure the integrity and confidentiality of personally identifiable information that you may provide .,2,2.0,3.0,1.0,2.0,2.0,2.0,somewhat_clear,somewhat_clear
796,"In the process of receiving and responding to such requests , we may collect personal information about you , such as your e-mail address or any other personal data contained in the body of your e-mail message .",1,4.0,2.0,4.0,5.0,3.2,3.2,vague,vague
669,"To the extent permitted by applicable law , you agree to defend , indemnify and hold harmless mobile9 , its parent corporation , officers , directors , employees and agents , from and against any and all claims , damages , obligations , losses , liabilities , costs or debt , and expenses ( including but not limited to attorney 's fees ) arising from : ( i ) your use of and access to the Service ; ( ii ) your violation of any term of these Terms of Service ; ( iii ) your violation of any third party right , including without limitation any copyright , property , or privacy right ; or ( iv ) any claim that your Content caused damage to a third party .",2,2.0,1.0,3.0,2.0,2.0,2.0,somewhat_clear,somewhat_clear
308,"For customer-service purposes , we maintain a record of e-mail messages and addresses sent to us , as well as any replies we may have sent in return .",3,1.0,1.0,2.0,1.0,1.6,1.0,clear,clear
367,"Since you provide us with sensitive information , we take every measure possible to protect your information against unauthorized access or disclosure .",2,2.0,2.0,2.0,2.0,2.0,2.0,somewhat_clear,somewhat_clear
204,"If you provide us with information about others , or if others give us your information , we may store that data , but it will only be used for the specific reason it was provided .",1,3.0,2.0,1.0,5.0,2.4,2.4,somewhat_clear,somewhat_clear
235,Users may use acs.org without registering but registration must occur in order to use any of the personalization services .,1,1.0,1.0,1.0,1.0,1.0,1.0,clear,clear
313,These Co-Branded Services may be hosted on Bible Gateway Services or on the third party 's service .,3,3.0,3.0,,,3.0,3.0,vague,vague
963,"Third parties under contract with WebMD may use Cookies or Web Beacons to collect Non-Personal Information about your usage of the WebMD Web Sites , including which health topics you have viewed .",2,3.0,4.0,3.0,2.0,2.8,2.8,somewhat_clear,somewhat_clear
938,You can call the following telephone number : 1-800-211-4759,1,1.0,1.0,1.0,,1.0,1.0,clear,clear
103,"When you buy something from us , we might have to do a credit check .",3,2.0,2.0,1.0,2.0,2.0,2.0,somewhat_clear,somewhat_clear
